EventId,EventTemplate,EventTemplateIdent,Occurrences
E1,total of <*> ddr error(s) detected and corrected,total of <Numbers> ddr error(s) detected and corrected,1
E2,"CE sym <*>, at <*>, mask <*>","CE sym <Numbers>, at <Hexadecimal>, mask <Hexadecimal>",2
E3,generating <*>,generating <Core>,6
E4,BGLMaster has been started: .<*> --consoleip <*> --consoleport <*> --configfile bglmaster.init,BGLMaster has been started: .<Path> --consoleip <IP> --consoleport <Numbers> --configfile bglmaster.init,1
E5,"ciod: Error loading <*>: invalid or missing program image, Permission denied","ciod: Error loading <Path>: invalid or missing program image, Permission denied",7
E6,Lustre mount FAILED : bglio<*> : point <*>,Lustre mount FAILED : bglio<Numbers> : point <Path>,1
E7,"MidplaneSwitchController::receiveTrain() iap failed: R<*>-M<*>-L<*>-U<*>-A, status=ffbffbff ec<*>","MidplaneSwitchController::receiveTrain() iap failed: R<Numbers>-M<Numbers>-L<Numbers>-U<Numbers>-A, status=ffbffbff ec<Numbers>",7
E8,<*> floating point alignment exceptions,<Numbers> floating point alignment exceptions,2
E9,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.","<Numbers> total interrupts. <Numbers> critical input interrupts. <Numbers> microseconds total spent on critical input interrupts, <Numbers> microseconds max time in a critical input interrupt.",1
E10,wbbyjjjjyjyhhuki.,wbbyjjjjyjyhhuki.,1
