EventId,EventTemplate,EventTemplateIdent,Occurrences
E1,PacketResponder <*> for block <*> terminating,PacketResponder <Numbers> for block <block_id> terminating,311
E2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP> is added to <block_id> size <Numbers>,314
E3,Received block <*> of size <*> from <*>,Received block <block_id> of size <Numbers> from <IP>,292
E4,Receiving block <*> src: <*> dest: <*>,Receiving block <block_id> src: <IP> dest: <IP>,292
E5,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* NameSystem.allocateBlock: <similar_prev_pattern> <block_id>,115
E6,Verification succeeded for <*>,Verification succeeded for <block_id>,20
E7,Deleting block <*> file <*>,Deleting block <block_id> file <similar_prev_pattern>,263
E8,<*> Served block <*> to <*>,<IP> Served block <block_id> to <IP>,80
E9,<*>Got exception while serving <*> to <*>,<IP>Got exception while serving <block_id> to <IP>,80
E10,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,BLOCK* NameSystem.delete: <block_id> is added to invalidSet of <IP>,224
E11,<*> Starting thread to transfer block <*> to <*>,<IP> Starting thread to transfer block <block_id> to <IP>,1
E12,BLOCK* ask <*> to delete <*>,BLOCK* ask <IP> to delete <block_id>,2
E13,Received block <*> src: <*> dest: <*> of size <*>,Received block <block_id> src: <IP> dest: <IP> of size <Numbers>,2
E14,BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,BLOCK* ask <IP> to delete <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id>,1
E15,BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,BLOCK* ask <IP> to delete <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id>,1
E16,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,BLOCK* ask <IP> to replicate <block_id> to datanode(s) <IP>,1
E17,BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*>,BLOCK* ask <IP> to delete <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id> <block_id>,1
