LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate,ParameterList
1,-,1131563444,2005.11.09,#1#,Nov,9,11:10:44,#1#/#1#,userhelper,14865,pam_timestamp: updated timestamp file `/var/run/sudo/root/console',b88d5f87,pam_timestamp: updated timestamp file `<*>,"[""/var/run/sudo/root/console'""]"
2,-,1131563444,2005.11.09,#1#,Nov,9,11:10:44,#1#/#1#,userhelper,14866,running '/usr/sbin/up2date --nox -i ganglia-gmond' with root privileges on behalf of 'root',154409e6,running '<*>,"[""/usr/sbin/up2date --nox -i ganglia-gmond' with root privileges on behalf of 'root'""]"
3,-,1131563444,2005.11.09,cn16,Nov,9,11:10:44,cn16/cn16,ntpd,15426,"synchronized to 10.100.16.250, stratum 3",75133fe6,"synchronized to <*>, stratum <*>","['10.100.16.250', '3']"
4,-,1131563445,2005.11.09,cn744,Nov,9,11:10:45,cn744/cn744,ntpd,28337,"synchronized to 10.100.22.250, stratum 3",75133fe6,"synchronized to <*>, stratum <*>","['10.100.22.250', '3']"
5,-,1131563446,2005.11.09,tbird-sm1,Nov,9,11:10:46,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,c8da9b23,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,['1831']
6,-,1131563447,2005.11.09,#1#,Nov,9,11:10:47,#1#/#1#,gmond,,gmond startup succeeded,fcc7ce1e,gmond <*> succeeded,['startup']
7,-,1131563448,2005.11.09,#1#,Nov,9,11:10:48,#1#/#1#,gmond,,gmond shutdown succeeded,fcc7ce1e,gmond <*> succeeded,['shutdown']
8,-,1131563448,2005.11.09,#1#,Nov,9,11:10:48,#1#/#1#,logger,,Kickstart Install: Setup to become a Tbird login,f3f66216,Kickstart Install: Setup to become a Tbird login,[]
9,-,1131563448,2005.11.09,#1#,Nov,9,11:10:48,#1#/#1#,logger,,Kickstart Install: tbird kernel package,a26fdf53,Kickstart Install: tbird kernel package,[]
10,-,1131563448,2005.11.09,#1#,Nov,9,11:10:48,#1#/#1#,logger,,Kickstart: setup firstboot for tbird panasas env,0a0321a8,Kickstart: setup firstboot for tbird panasas env,[]
11,-,1131566420,2005.11.09,tbird-admin1,Nov,9,12:00:20,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B2] datasource,1d81fa4c,data_thread() got not answer from any [Thunderbird_B<*>] datasource,['2']
12,-,1131566420,2005.11.09,tbird-admin1,Nov,9,12:00:20,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B6] datasource,1d81fa4c,data_thread() got not answer from any [Thunderbird_B<*>] datasource,['6']
13,-,1131566416,2005.11.09,tbird-admin1,Nov,9,12:00:16,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131562817 when last update time is 1131562817 (minimum one second step),28fcb8a9,RRD_update (<*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step),"['/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd):', '1131562817', '1131562817']"
14,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,5d0553ba,FADT (v<*> DELL PE BKC <*> MSFT <*>) @ <*>,"['001', '0x00000001', '0x0100000a', '0x00000000000fd6b0']"
15,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c,3cc194fc,HPET (v<*> DELL PE BKC <*> MSFT <*>) @ <*>,"['001', '0x00000001', '0x0100000a', '0x00000000000fd81c']"
16,-,1131573795,2005.11.09,bn347,Nov,9,14:03:15,bn347/bn347,kernel,,ACPI: PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBA._PRT],d3aad3a7,ACPI: PCI Interrupt Routing Table [<*>],['\\_SB_.PCI0.PALO.DOBA._PRT']
