EventId,EventTemplate,Occurrences
b88d5f87,pam_timestamp: updated timestamp file `<*>,1
154409e6,running '<*>,1
75133fe6,"synchronized to <*>, stratum <*>",2
c8da9b23,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,1
fcc7ce1e,gmond <*> succeeded,2
f3f66216,Kickstart Install: Setup to become a Tbird login,1
a26fdf53,Kickstart Install: tbird kernel package,1
0a0321a8,Kickstart: setup firstboot for tbird panasas env,1
1d81fa4c,data_thread() got not answer from any [Thunderbird_B<*>] datasource,2
28fcb8a9,RRD_update (<*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step),1
5d0553ba,FADT (v<*> DELL PE BKC <*> MSFT <*>) @ <*>,1
3cc194fc,HPET (v<*> DELL PE BKC <*> MSFT <*>) @ <*>,1
d3aad3a7,ACPI: PCI Interrupt Routing Table [<*>],2
61b9cd92,"[KERNEL_IB][tsIbTavorMadProcess][<*><*>]InfiniHost<*>: EVAPI_process_local_mad failed, return code = -<*> (Fatal error (Local Catastrophic Error))",3
892e658b,dcevt<*>d startup succeeded,1
7bc7ba78,dcstor<*>d startup succeeded,1
c2e589ec,dcdipm device driver loaded,1
c431dc9a,tput: No value for $TERM and no -T specified,2
1324d484,omsad<*> startup succeeded,1
6f97e9d4,restart.,19
9b1751bd,succeeded,2
